iter	Passed	Remaining
404	8593	12624
405	8689	12712
406	8753	12754
407	8774	12731
408	8794	12708
409	8816	12686
410	8835	12661
411	8854	12636
412	8873	12611
413	8892	12586
414	8911	12561
415	8930	12537
416	8952	12515
417	8970	12490
418	8990	12466
419	9010	12443
420	9029	12417
421	9048	12393
422	9067	12368
423	9086	12343
424	9113	12330
425	9132	12304
426	9152	12281
427	9173	12260
428	9193	12236
429	9213	12212
430	9232	12188
431	9252	12165
432	9272	12142
433	9293	12119
434	9312	12095
435	9332	12072
436	9355	12052
437	9386	12043
438	9418	12036
439	9449	12026
440	9482	12019
441	9513	12010
442	9547	12004
443	9587	12005
444	9615	11992
445	9643	11978
446	9667	11960
447	9687	11936
448	9709	11915
449	9729	11891
450	9748	11866
451	9767	11841
452	9786	11817
453	9807	11794
454	9830	11774
455	9852	11754
456	9879	11739
457	9902	11719
458	9929	11703
459	9950	11681
460	9976	11664
461	10001	11646
462	10030	11633
463	10058	11619
464	10082	11600
465	10102	11577
466	10123	11554
467	10143	11530
468	10168	11512
469	10191	11492
470	10214	11472
471	10237	11452
472	10266	11438
473	10294	11424
474	10314	11399
475	10338	11380
476	10363	11362
477	10384	11340
478	10407	11319
479	10428	11297
480	10448	11274
481	10469	11251
482	10491	11230
483	10512	11207
484	10534	11186
485	10554	11162
486	10574	11138
487	10594	11115
488	10614	11092
489	10635	11069
490	10659	11050
491	10679	11026
492	10699	11003
493	10719	10979
494	10739	10956
495	10758	10932
496	10777	10907
497	10796	10883
498	10815	10859
499	10836	10836
500	10855	10812
501	10874	10787
502	10894	10764
503	10941	10767
504	10968	10751
505	10988	10727
506	11008	10704
507	11030	10682
508	11051	10660
509	11070	10636
510	11089	10611
511	11109	10588
512	11129	10565
513	11149	10542
514	11170	10519
515	11194	10500
516	11221	10483
517	11243	10462
518	11268	10443
519	11289	10420
520	11310	10398
521	11335	10379
522	11364	10364
523	11387	10344
524	11408	10321
525	11428	10299
526	11450	10277
527	11472	10255
528	11492	10232
529	11514	10210
530	11534	10187
531	11553	10163
532	11575	10142
533	11596	10119
534	11617	10097
535	11639	10075
536	11659	10052
537	11680	10030
538	11700	10007
539	11721	9985
540	11744	9964
541	11765	9941
542	11787	9920
543	11813	9902
544	11834	9879
545	11858	9860
546	11879	9837
547	11901	9816
548	11922	9793
549	11943	9771
550	11963	9748
551	11982	9724
552	12001	9700
553	12021	9677
554	12040	9653
555	12060	9630
556	12079	9607
557	12097	9583
558	12117	9559
559	12136	9535
560	12155	9511
561	12173	9487
562	12193	9464
563	12211	9439
564	12230	9416
565	12249	9392
566	12268	9368
567	12286	9344
568	12306	9322
569	12326	9299
570	12349	9278
571	12369	9255
572	12389	9233
573	12410	9210
574	12428	9186
575	12448	9163
576	12468	9140
577	12488	9117
578	12507	9094
579	12527	9071
580	12546	9047
581	12567	9025
582	12587	9003
583	12608	8981
584	12627	8957
585	12646	8934
586	12667	8912
587	12686	8889
588	12706	8866
589	12724	8842
590	12745	8820
591	12765	8797
592	12784	8774
593	12804	8751
594	12823	8728
595	12842	8705
596	12860	8681
597	12880	8658
598	12899	8635
599	12919	8613
600	12937	8589
601	12956	8566
602	12976	8543
603	12996	8521
604	13015	8497
605	13034	8474
606	13053	8451
607	13073	8429
608	13092	8405
609	13111	8382
610	13130	8359
611	13151	8337
612	13171	8315
613	13190	8292
614	13208	8269
615	13227	8246
616	13248	8223
617	13266	8200
618	13286	8178
619	13306	8155
620	13325	8132
621	13350	8113
622	13373	8092
623	13392	8069
624	13411	8046
625	13430	8023
626	13451	8002
627	13470	7979
628	13491	7957
629	13509	7934
630	13529	7911
631	13548	7888
632	13571	7868
633	13592	7846
634	13611	7824
635	13631	7801
636	13650	7779
637	13669	7756
638	13691	7734
639	13709	7711
640	13728	7688
641	13747	7666
642	13767	7643
643	13787	7621
644	13808	7599
645	13827	7577
646	13847	7555
647	13866	7532
648	13886	7510
649	13905	7487
650	13925	7465
651	13947	7444
652	13967	7422
653	13986	7399
654	14005	7376
655	14025	7354
656	14045	7332
657	14064	7310
658	14083	7287
