iter	RMSE
0	16.0123745
1	16.00287677
2	15.99348693
3	15.98401972
4	15.97452434
5	15.96509848
6	15.95565857
7	15.94619907
8	15.93673453
9	15.92722683
10	15.91782764
11	15.90834454
12	15.89913008
13	15.88959903
14	15.88023624
15	15.87084541
16	15.86150869
17	15.85212952
18	15.84281317
19	15.83351588
20	15.82424803
21	15.81502313
22	15.80583611
23	15.79670801
24	15.78768849
25	15.77866192
26	15.76941151
27	15.76033007
28	15.75107712
29	15.74186148
30	15.73268176
31	15.72353338
32	15.7144709
33	15.70550769
34	15.69643648
35	15.6874862
36	15.67830836
37	15.66939302
38	15.66023848
39	15.6512481
40	15.64219095
41	15.63321349
42	15.62423648
43	15.61517392
44	15.60624235
45	15.59744026
46	15.58860522
47	15.5796725
48	15.57064633
49	15.56159116
50	15.55255055
51	15.54356753
52	15.53459043
53	15.52577984
54	15.51689793
55	15.50809945
56	15.49913689
57	15.49016768
58	15.48116927
59	15.47239424
60	15.4635703
61	15.45484873
62	15.44613527
63	15.43739979
64	15.42856218
65	15.41960076
66	15.41081889
67	15.40199674
68	15.39343298
69	15.38463901
70	15.37581571
71	15.36698493
72	15.35822462
73	15.34945489
74	15.34085723
75	15.33222941
76	15.32369216
77	15.31512832
78	15.30645348
79	15.29780893
80	15.2893038
81	15.28066276
82	15.27232442
83	15.2638316
84	15.25550564
85	15.2470976
86	15.23858637
87	15.22991648
88	15.22156425
89	15.21317802
90	15.20465568
91	15.1961452
92	15.18765296
93	15.17941419
94	15.17107
95	15.16267782
96	15.15411067
97	15.14578178
98	15.1374208
99	15.12928032
100	15.12100335
101	15.11243471
102	15.10402324
103	15.09564751
104	15.08745236
105	15.07894107
106	15.07045254
107	15.06213149
108	15.05394283
109	15.04570697
110	15.03745615
111	15.02918898
112	15.02097673
113	15.01282769
114	15.0044845
115	14.99629833
116	14.98822487
117	14.97994741
118	14.97177929
119	14.96364563
120	14.95544779
121	14.94721402
122	14.9390527
123	14.93099904
124	14.92299145
125	14.91490801
126	14.90677392
127	14.89848053
128	14.89043272
129	14.88237279
130	14.87444647
131	14.86636522
132	14.8583829
133	14.85022918
134	14.84220105
135	14.8341143
136	14.82608704
137	14.81805886
138	14.81010051
139	14.80218684
140	14.79405639
141	14.78610274
142	14.77810823
143	14.77013563
144	14.76209609
145	14.75421176
146	14.74638798
147	14.73841319
148	14.73052574
149	14.72255425
150	14.7147092
151	14.70669498
152	14.69885672
153	14.69117105
154	14.68320095
155	14.6753246
156	14.66749324
157	14.65978788
158	14.65195724
159	14.64422804
160	14.63665053
161	14.62894508
162	14.6211958
163	14.61340534
164	14.60560337
165	14.59797623
166	14.59023453
167	14.5825429
168	14.57468855
169	14.56707938
170	14.55941745
171	14.55171783
172	14.54427661
173	14.53660112
174	14.52905374
175	14.52135316
176	14.51381076
177	14.5062
178	14.49848463
179	14.49082957
180	14.48327669
181	14.47564942
182	14.46804292
183	14.46027672
184	14.45249381
185	14.44493672
186	14.43743068
187	14.42996699
188	14.42235844
189	14.41492785
190	14.40745508
191	14.39995957
192	14.39239273
193	14.38509149
194	14.37760567
195	14.36998097
196	14.3625755
197	14.35511725
198	14.34764206
199	14.34004316
200	14.33256298
201	14.32505807
202	14.31759208
203	14.31028496
204	14.30277008
205	14.29549296
206	14.28818069
207	14.2810316
208	14.27361399
209	14.26621727
210	14.25890385
211	14.25156578
212	14.24437607
213	14.23700942
214	14.22982549
215	14.22265504
216	14.21540069
217	14.20818466
218	14.20082746
219	14.1935823
220	14.18636512
221	14.17911287
222	14.1720143
223	14.16489119
224	14.15772844
225	14.15051445
226	14.14330408
227	14.13612488
228	14.12895268
229	14.12204529
230	14.11487149
231	14.10752196
232	14.10047587
233	14.09340288
234	14.08607959
235	14.07894773
236	14.07177476
237	14.06480182
238	14.05775322
239	14.05059744
240	14.04355835
241	14.03649456
242	14.0293886
243	14.02226651
244	14.01518133
245	14.00814433
246	14.00123346
247	13.99425318
248	13.98723959
249	13.98026487
250	13.97317015
251	13.96620563
252	13.95921839
253	13.95232609
254	13.94559524
255	13.93855618
256	13.93159608
257	13.92480593
258	13.91801438
259	13.91115129
260	13.90424786
261	13.89725611
262	13.89026912
263	13.8833643
264	13.87633031
265	13.86959926
266	13.86269071
267	13.85572714
268	13.84900469
269	13.84204087
270	13.83539125
271	13.82867398
272	13.82194931
273	13.8151944
274	13.80847638
275	13.80171028
276	13.79490126
277	13.78813625
278	13.78126191
279	13.77446441
280	13.76776436
281	13.76086777
282	13.75407536
283	13.74736187
284	13.7406105
285	13.73389383
286	13.72721156
287	13.72066149
288	13.71393716
289	13.70721291
290	13.70036989
291	13.69352741
292	13.68691665
293	13.68022027
294	13.6734896
295	13.66685417
296	13.66025011
297	13.6536218
298	13.64701492
299	13.64036538
300	13.63371998
301	13.62720689
302	13.62057943
303	13.61399057
304	13.60753205
305	13.60089484
306	13.59442116
307	13.58786171
308	13.58116022
309	13.57467232
310	13.56815378
311	13.56158634
312	13.55522019
313	13.54864448
314	13.54232388
315	13.53587932
316	13.52943358
317	13.52280985
318	13.51628545
319	13.50994361
320	13.50356208
321	13.49733908
322	13.49085171
323	13.48451479
324	13.47818801
325	13.47172658
326	13.46534125
327	13.45913337
328	13.45288362
329	13.44644259
330	13.44022492
331	13.43390015
332	13.42749497
333	13.42100247
334	13.4147142
335	13.40842388
336	13.4021505
337	13.39583077
338	13.38950353
339	13.38348348
340	13.37708136
341	13.37073247
342	13.36448842
343	13.35835889
344	13.35201256
345	13.34585624
346	13.33963127
347	13.33360825
348	13.32742126
349	13.3212425
350	13.31511476
351	13.30886564
352	13.30271276
353	13.29635859
354	13.29007511
355	13.2840346
356	13.27790735
357	13.27165297
358	13.26549531
359	13.25943737
360	13.25346793
361	13.2474513
362	13.24125081
363	13.23510736
364	13.22904385
365	13.22287552
366	13.2167242
367	13.21061832
368	13.20452349
369	13.19849273
370	13.19250435
371	13.18649602
372	13.18038172
373	13.17432925
374	13.16832764
375	13.16230666
376	13.15630984
377	13.15031731
378	13.14435789
379	13.13835135
380	13.13226299
381	13.12641525
382	13.12034483
383	13.11433896
384	13.10861212
385	13.10284344
386	13.09676887
387	13.09086876
388	13.08485276
389	13.07885153
390	13.07284599
391	13.06689255
392	13.0610147
393	13.05524145
394	13.04927421
395	13.04349015
396	13.03756323
397	13.03176879
398	13.02578202
399	13.02004457
400	13.01413544
401	13.00827024
402	13.00255341
403	12.99689186
404	12.99107909
405	12.98513523
406	12.97933776
407	12.97361284
408	12.96764331
409	12.96177579
410	12.95592321
411	12.94997081
412	12.94415937
413	12.93836428
414	12.93251598
415	12.92673122
416	12.92095889
417	12.91522817
418	12.90946678
419	12.90373419
420	12.89811729
421	12.89248195
422	12.88692057
423	12.88117939
424	12.87545969
425	12.86961671
426	12.86398754
427	12.85834786
428	12.8527952
429	12.84709369
430	12.84153171
431	12.83578658
432	12.83026402
433	12.82464129
434	12.81893506
435	12.8133499
436	12.80765518
437	12.80195413
438	12.7964232
439	12.79082153
440	12.78517859
441	12.77974633
442	12.77428221
443	12.76867363
444	12.76322208
445	12.75752813
446	12.75194244
447	12.74671822
448	12.74121267
449	12.73568619
450	12.73036145
451	12.72495669
452	12.71963517
453	12.71407362
454	12.70862616
455	12.70310292
456	12.69771074
457	12.69220897
458	12.68670913
459	12.68140068
460	12.67586698
461	12.67046209
462	12.66490451
463	12.65956309
464	12.65414996
465	12.64879277
466	12.64336844
467	12.63810172
468	12.63273425
469	12.6272795
470	12.62207407
471	12.61664578
472	12.61139698
473	12.60610762
474	12.60075087
475	12.59547934
476	12.59014691
477	12.58473394
478	12.57939873
479	12.57392612
480	12.56864468
481	12.56328262
482	12.55794333
483	12.55274234
484	12.54731599
485	12.54199983
486	12.53675813
487	12.53148234
488	12.52613689
489	12.52089806
490	12.51579297
491	12.51042806
492	12.50512938
493	12.50003656
494	12.49479937
495	12.48949791
496	12.48431914
497	12.47903595
498	12.47388852
499	12.46867333
500	12.46352945
501	12.45833172
502	12.45313666
503	12.44793234
504	12.44280336
505	12.43775518
506	12.43261594
507	12.4274657
508	12.42230933
509	12.41722478
510	12.41219359
511	12.40717388
512	12.40206853
513	12.39688403
514	12.39177404
515	12.38666237
516	12.38154786
517	12.37649495
518	12.37135873
519	12.36620578
520	12.36116763
521	12.35608936
522	12.35112209
523	12.34604622
524	12.34095291
525	12.33582409
526	12.33082561
527	12.32582245
528	12.3208211
529	12.31581972
530	12.3108702
531	12.30585855
532	12.30086074
533	12.29604498
534	12.29123337
535	12.28619583
536	12.28126721
537	12.27634401
538	12.27140133
539	12.26647764
540	12.26156811
541	12.25672082
542	12.25185737
543	12.24707701
544	12.24204724
545	12.23724118
546	12.23224014
547	12.22740575
548	12.22263656
549	12.21774232
550	12.21288408
551	12.20797196
552	12.20316457
553	12.19833041
554	12.19348115
555	12.18871573
556	12.18385453
557	12.17904208
558	12.17426135
559	12.1693157
560	12.16464775
561	12.15975688
562	12.15484212
563	12.1500403
564	12.14525371
565	12.14058323
566	12.13588772
567	12.13107252
568	12.126446
569	12.12155548
570	12.11689343
571	12.11216296
572	12.10724927
573	12.10252608
574	12.09775579
575	12.09299797
576	12.08811511
577	12.08340757
578	12.07859197
579	12.07379065
580	12.0691775
581	12.06454623
582	12.05989973
583	12.05532315
584	12.05064168
585	12.04599609
586	12.04133998
587	12.03663484
588	12.03205449
589	12.0274412
590	12.0227854
591	12.01818837
592	12.01350823
593	12.00879956
594	12.00419919
595	11.9997399
596	11.99517028
597	11.9906239
598	11.98610469
599	11.9813828
600	11.97690775
601	11.97226468
602	11.96766613
603	11.96316937
604	11.95866506
605	11.95406254
606	11.94954604
607	11.94498996
608	11.94050766
609	11.93598281
610	11.93140627
611	11.9268628
612	11.9223186
613	11.91800442
614	11.91356166
615	11.90909366
616	11.90448894
617	11.89995091
618	11.89543504
619	11.89081713
620	11.88633754
621	11.88183052
622	11.87749475
623	11.87298046
624	11.86857998
625	11.86410746
626	11.85965481
627	11.85521359
628	11.85074418
629	11.84628954
630	11.84180058
631	11.83737317
632	11.83299319
633	11.82866736
634	11.82428345
635	11.81990653
636	11.81563334
637	11.81131469
638	11.80691958
639	11.80244553
640	11.79806801
641	11.79354793
642	11.78919293
643	11.7848044
644	11.78050328
645	11.77615488
646	11.77180173
647	11.7674037
648	11.76301309
649	11.75866034
650	11.75434891
651	11.7501004
652	11.74583379
653	11.74160682
654	11.73714261
655	11.73295811
656	11.72856782
657	11.72434819
658	11.72008948
659	11.71593163
660	11.7115613
661	11.7071589
662	11.70293071
663	11.69877326
664	11.69453252
665	11.69036397
666	11.68612342
667	11.6816489
668	11.67739173
669	11.67312521
670	11.66906182
671	11.66462948
672	11.660426
673	11.6561517
674	11.65202448
675	11.64790261
676	11.64368407
677	11.63946734
678	11.63528957
679	11.63106411
680	11.62694167
681	11.6227846
682	11.61858273
683	11.61432715
684	11.61020959
685	11.60608847
686	11.60195282
687	11.59795664
688	11.59393173
689	11.58973886
690	11.58562448
691	11.58150987
692	11.57741888
693	11.57340563
694	11.56925795
695	11.56514044
696	11.56099337
697	11.55689274
698	11.55264344
699	11.54862473
700	11.54456702
701	11.54056062
702	11.53652226
703	11.53230914
704	11.52829447
705	11.52430793
706	11.52027413
707	11.51629032
708	11.51217963
709	11.50816533
710	11.5041314
711	11.50040409
712	11.49646485
713	11.49238353
714	11.48847227
715	11.48458196
716	11.48060405
717	11.47673141
718	11.4726923
719	11.46869648
720	11.46485423
721	11.46093499
722	11.45702047
723	11.4530803
724	11.44903878
725	11.44522917
726	11.4414777
727	11.43772646
728	11.43391855
729	11.43003829
730	11.42610647
731	11.42218075
732	11.41826848
733	11.41438507
734	11.41052269
735	11.40654419
736	11.40250875
737	11.3986504
738	11.39476815
739	11.39089473
740	11.3869599
741	11.38315954
742	11.37929571
743	11.37548644
744	11.3718637
745	11.36794053
746	11.36411753
747	11.36021226
748	11.35633681
749	11.35257001
750	11.3487988
751	11.34506518
752	11.34136015
753	11.33755448
754	11.33368704
755	11.32984002
756	11.32599187
757	11.32215398
758	11.31815864
759	11.31435896
760	11.31066886
761	11.30691469
762	11.30326467
763	11.29958455
764	11.29598239
765	11.29227526
766	11.28840833
767	11.28470353
768	11.28084068
769	11.27710595
770	11.27337479
771	11.2695697
772	11.26599143
773	11.26225692
774	11.25860277
775	11.25487985
776	11.25125167
777	11.24772598
778	11.24408736
779	11.24042923
780	11.23671762
781	11.23307058
782	11.2293275
783	11.22561919
784	11.2219286
785	11.21830293
786	11.21471616
787	11.21114977
788	11.20759467
789	11.20398859
790	11.20016783
791	11.19662012
792	11.19277003
793	11.18926107
794	11.18548531
795	11.18176644
796	11.17813683
797	11.17452536
798	11.17091247
799	11.16729049
800	11.16351775
801	11.15999725
802	11.15650956
803	11.15276209
804	11.14922186
805	11.14555532
806	11.14189611
807	11.13838253
808	11.13493796
809	11.13128386
810	11.12762045
811	11.12411638
812	11.12073009
813	11.11721759
814	11.11370151
815	11.11008124
816	11.10661637
817	11.10311543
818	11.09955227
819	11.09614674
820	11.09276128
821	11.08937348
822	11.08583131
823	11.08244499
824	11.07901266
825	11.0755525
826	11.07219121
827	11.0688109
828	11.06529476
829	11.06192258
830	11.05842352
831	11.05498957
832	11.05139722
833	11.04780257
834	11.0443699
835	11.04091479
836	11.03751925
837	11.0341373
838	11.03071485
839	11.02743184
840	11.02395403
841	11.02053374
842	11.0171234
843	11.01378883
844	11.0104889
845	11.00701655
846	11.0035967
847	11.00026166
848	10.99684213
849	10.99341186
850	10.99008579
851	10.98670261
852	10.98338209
853	10.98004966
854	10.97655948
855	10.9733392
856	10.96994054
857	10.96662848
858	10.96341106
859	10.96004816
860	10.95671216
861	10.95334136
862	10.95011133
863	10.94662093
864	10.94344199
865	10.9401502
866	10.93687252
867	10.93366152
868	10.93039837
869	10.9269778
870	10.9236434
871	10.92021823
872	10.91688281
873	10.91360023
874	10.91027985
875	10.90717464
876	10.9039545
877	10.90077899
878	10.89752009
879	10.89418229
880	10.89098685
881	10.88763212
882	10.88445125
883	10.88106589
884	10.87781251
885	10.8746365
886	10.871362
887	10.86811768
888	10.86477681
889	10.86157099
890	10.85826248
891	10.85509384
892	10.85193315
893	10.84868491
894	10.84556378
895	10.84240713
896	10.83913402
897	10.83601209
898	10.83273787
899	10.82956595
900	10.8264704
901	10.82337338
902	10.82027975
903	10.81724819
904	10.81421701
905	10.81111956
906	10.80798497
907	10.80483796
908	10.80173431
909	10.79857276
910	10.79548174
911	10.7923785
912	10.78914138
913	10.7862159
914	10.78311686
915	10.77997224
916	10.77697517
917	10.77380575
918	10.770703
919	10.76762096
920	10.76458489
921	10.76148229
922	10.75833237
923	10.75541554
924	10.75232851
925	10.7493181
926	10.74633806
927	10.74316021
928	10.73996297
929	10.73695061
930	10.73400003
931	10.73085443
932	10.72780349
933	10.72476086
934	10.72183792
935	10.71891501
936	10.71588188
937	10.71292832
938	10.70999795
939	10.70699302
940	10.70397402
941	10.70103977
942	10.69799654
943	10.69502143
944	10.69199728
945	10.68897442
946	10.68592557
947	10.6829139
948	10.68004743
949	10.67700122
950	10.67393476
951	10.67095328
952	10.66808555
953	10.66514986
954	10.66199613
955	10.65909075
956	10.65616879
957	10.65322914
958	10.6502556
959	10.64736249
960	10.64445764
961	10.64150953
962	10.63851898
963	10.63558655
964	10.63265091
965	10.62983055
966	10.62702584
967	10.62411629
968	10.6211777
969	10.61829089
970	10.61536241
971	10.61252587
972	10.609543
973	10.60667094
974	10.60382637
975	10.60093884
976	10.59813764
977	10.5951587
978	10.59228937
979	10.5894093
980	10.58656863
981	10.58369253
982	10.58080884
983	10.57798383
984	10.57512854
985	10.57226901
986	10.56933675
987	10.56641374
988	10.5635315
989	10.56065498
990	10.55779072
991	10.55496905
992	10.55210682
993	10.5492667
994	10.54639273
995	10.5436124
996	10.54075091
997	10.53793298
998	10.53523039
999	10.53246575
